,month,remote_work_share_min_work,flag_remote_work_smoothed_max_thresh,flag_remote_work_smoothed_max
0,201901,0.1410093371951316,0.1410093371951316,0.10939527583394261
1,201904,0.13147465599286967,0.13147465599286967,0.10332170950238598
2,201909,0.12289516328297008,0.12289516328297008,0.10794618693953699
3,202001,0.1265222055213235,0.1265222055213235,0.11195258171793628
4,202002,0.13013968665192405,0.13013968665192405,0.09945618435540701
5,202003,0.1702294665825672,0.1702294665825672,0.13379735994921865
6,202005,0.22042379190276812,0.22045306635582063,0.2006841303257156
7,202006,0.2475551215563192,0.2475551215563192,0.21475853797754138
8,202009,0.25298337333692206,0.25298337333692206,0.2082063672739728
9,202010,0.2923942737654917,0.2923942737654917,0.24120140080173472
10,202011,0.2534984877076058,0.2534984877076058,0.20433803985301716
11,202102,0.20042505004022695,0.20042505004022695,0.14301834502150745
12,202103,0.17300700616239595,0.17300700616239595,0.13734452480145826
13,202104,0.1504618086944595,0.1504618086944595,0.12074126035474472
14,202105,0.19158589212399854,0.19158589212399854,0.15070095811549258
15,202106,0.1621584053988847,0.1621584053988847,0.13359887287483932
16,202107,0.16982279983867427,0.16982279983867427,0.13568353845619402
17,202108,0.19264667678925945,0.19264667678925945,0.14661833667280028
18,202109,0.17482794582457964,0.17485466164836205,0.1343594076481274
19,202110,0.18523505967309029,0.18523505967309029,0.13488145831241424
20,202111,0.1621663673330084,0.1621663673330084,0.1280658927789636
21,202112,0.19296886524706894,0.19296886524706894,0.14694424461234387
22,202202,0.1376847185563168,0.1376847185563168,0.11476236198253334
23,202203,0.1972006792339916,0.1972006792339916,0.1532803589435728
24,202204,0.1663755226753565,0.1663755226753565,0.13131365011429524
25,202205,0.20984624356115153,0.20984624356115153,0.15687013038518427
26,202207,0.1889057014288697,0.1889057014288697,0.1543219384119824
27,202208,0.2043874616810263,0.2043874616810263,0.16169388079867114
28,202209,0.15418367488538176,0.15417414181516115,0.1261070323540793
29,202210,0.16030703639763347,0.16030703639763347,0.13982917395188565
30,202211,0.18497451044501206,0.184994852916442,0.14832632090474782
31,202301,0.20218384456557642,0.20219082397167548,0.14873910719464023
32,202302,0.1724414673913632,0.1724414673913632,0.13982756762588308
33,202303,0.18804639264191444,0.18804639264191444,0.15028045052492706
34,202305,0.15013676354176267,0.15013930044096152,0.10946330019552965
35,202306,0.14253529254313707,0.14255970420423383,0.11303525837685086
